price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
Call for Price,,"1 BHK Flat for Sale in Manjari BK, Pune",1.0,Carpet Area 450 sqft,450.0,Manjari BK,Pune,https://www.magicbricks.com/gemini-grand-bay-manjri-budruk-pune-pdpid-4d4235303038313934
Call for Price,,"3 BHK Flat for Sale in Baner, Pune",3.0,Carpet Area 1213 sqft,1213.0,Baner,Pune,https://www.magicbricks.com/nyati-emerald-baner-pune-pdpid-4d4235343131333531
Call for Price,,"1 BHK Flat for Sale in Bhairavnath Nagar Kirkatwadi, Pune",1.0,,,Bhairavnath Nagar Kirkatwadi,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-Multistorey-Apartment-FOR-Sale-Bhairavnath-Nagar-in-Pune&id=4d423830393539313535
Call for Price,,"Apartment for Sale in Shivane, Pune",,Super Area 632 sqft,632.0,Shivane,Pune,https://www.magicbricks.com/bhagwant-rahi-residency-shivane-pune-pdpid-4d4235303636353637
Call for Price,,"1 BHK Flat for Sale in Balewadi, Pune",1.0,Carpet Area 491 sqft,491.0,Balewadi,Pune,https://www.magicbricks.com/avishkar-pavilion-residency-balewadi-pune-pdpid-4d4235303432333731
Call for Price,,"1 BHK Flat for Sale in Balewadi, Pune",1.0,Carpet Area 491 sqft,491.0,Balewadi,Pune,https://www.magicbricks.com/avishkar-pavilion-residency-balewadi-pune-pdpid-4d4235303432333731
Call for Price,,"3 BHK Flat for Sale in Balewadi, Pune",3.0,Carpet Area 756 sqft,756.0,Balewadi,Pune,https://www.magicbricks.com/royal-enclave-balewadi-pune-pdpid-4d4235303432323436
Call for Price,,"2 BHK Flat for Sale in Wakad, Pune",2.0,Super Area 1206 sqft,1206.0,Wakad,Pune,https://www.magicbricks.com/malpani-greens-wakad-pune-pdpid-4d4235303030373036
Call for Price,,"2 BHK Flat for Sale in Wadgaon Sheri, Pune",2.0,Carpet Area 730 sqft,730.0,Wadgaon Sheri,Pune,https://www.magicbricks.com/bhaktamar-residency-wadgaon-sheri-pune-pdpid-4d4235313239353833
Call for Price,,"2 BHK Flat for Sale in Talegaon Dabhade, Pune",2.0,Carpet Area 720 sqft,720.0,Talegaon Dabhade,Pune,https://www.magicbricks.com/namrata-eco-city-talegaon-dabhade-pune-pdpid-4d4235303431313036
Call for Price,,"2 BHK Flat for Sale in Mulshi, Pune",2.0,Carpet Area 540 sqft,540.0,Mulshi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Mulshi-in-Pune&id=4d423735363734313035
Call for Price,,"1 BHK Flat for Sale in Kharadi, Pune",1.0,Carpet Area 396 sqft,396.0,Kharadi,Pune,https://www.magicbricks.com/venus-garden-kharadi-pune-pdpid-4d4235303338343937
Call for Price,,"1 BHK Flat for Sale in Yerawada, Airport Road, Pune",1.0,Super Area 500 sqft,500.0,Yerawada,Pune,https://www.magicbricks.com/sagitarius-bluegrass-residences-yerawada-pune-pdpid-4d4235313233393539
Call for Price,,"3 BHK Flat for Sale in Erandwane, Pune",3.0,Carpet Area 1043 sqft,1043.0,Erandwane,Pune,https://www.magicbricks.com/darode-jog-shriniwas-bharatshree-erandwane-pune-pdpid-4d4235323331353331
Call for Price,,Apartment for Sale in Pune,,Transaction Resale,,Pune,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423736383732333337
Call for Price,,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 526 sqft,526.0,Chakan,Pune,https://www.magicbricks.com/vastu-forest-nest-chakan-pune-pdpid-4d4235303438313034
Call for Price,,"Apartment for Sale in Dangat Patil Nagar Shivane, Pune",,Transaction Resale,,Dangat Patil Nagar Shivane,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Dangat-Patil-Nagar-in-Pune&id=4d423738373737353431
Call for Price,,"3 BHK Flat for Sale in Kalyani Nagar, Pune",3.0,Carpet Area 816 sqft,816.0,Kalyani Nagar,Pune,https://www.magicbricks.com/silver-oak-kalyani-nagar-pune-pdpid-4d4235303334373934
Call for Price,,"1 BHK Flat for Sale in Warje, Pune",1.0,Carpet Area 454 sqft,454.0,Warje,Pune,https://www.magicbricks.com/smita-heights-warje-pune-pdpid-4d4235303332353235
Call for Price,,"2 BHK Flat for Sale in Bibwewadi, Pune",2.0,Carpet Area 695 sqft,695.0,Bibwewadi,Pune,https://www.magicbricks.com/sadguru-park-apartment-bibwewadi-pune-pdpid-4d4235303332343332
Call for Price,,"4 BHK Flat for Sale in Baner Gaon, Baner, Pune",4.0,Carpet Area 1823 sqft,1823.0,Baner Gaon,Pune,https://www.magicbricks.com/propertyDetails/4-BHK-2461-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-Gaon-in-Pune&id=4d423731343031333837
Call for Price,,"1 BHK Flat for Sale in Pimple Gurav, Pimpri Chinchwad, Pune",1.0,Carpet Area 482 sqft,482.0,Pimple Gurav,Pune,https://www.magicbricks.com/mahalakshmi-residency-pimple-gurav-pune-pdpid-4d4235303332323039
Call for Price,,"2 BHK Flat for Sale in Loni Kalbhor, Pune",2.0,Carpet Area 612 sqft,612.0,Loni Kalbhor,Pune,https://www.magicbricks.com/samruddhi-palace-loni-kalbhor-pune-pdpid-4d4235303331363138
