price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 42 Lac,4200000.0,"2 BHK Flat for Sale in Katraj, Pune",2.0,Super Area 881 sqft,881.0,Katraj,Pune,https://www.magicbricks.com/acme-arcadia-katraj-pune-pdpid-4d4235313332393335
₹ 2.42 Cr,24200000.0,"3 BHK Flat for Sale in Amanora Park Town, Pune",3.0,Carpet Area 1232 sqft,1232.0,Amanora Park Town,Pune,https://www.magicbricks.com/amanora-gateway-towers-2-amanora-park-town-pune-pdpid-4d4235343331323737
₹ 2.62 Cr,26200000.0,"3 BHK Flat for Sale in Amanora Park Town, Pune",3.0,Carpet Area 1340 sqft,1340.0,Amanora Park Town,Pune,https://www.magicbricks.com/amanora-gateway-towers-2-amanora-park-town-pune-pdpid-4d4235343331323737
₹ 2.85 Cr,28500000.0,"3 BHK Flat for Sale in Amanora Park Town, Pune",3.0,Carpet Area 1460 sqft,1460.0,Amanora Park Town,Pune,https://www.magicbricks.com/amanora-gateway-towers-2-amanora-park-town-pune-pdpid-4d4235343331323737
₹ 3.50 Cr,35000000.0,"3 BHK Flat for Sale in Sahakar Nagar Parvati Paytha, Pune",3.0,Carpet Area 1610 sqft,1610.0,Sahakar Nagar Parvati Paytha,Pune,https://www.magicbricks.com/amits-montecito-sahakar-nagar-pune-pdpid-4d4235313537383539
₹ 3.50 Cr,35000000.0,"3 BHK Flat for Sale in Sahakar Nagar Parvati Paytha, Pune",3.0,Carpet Area 1610 sqft,1610.0,Sahakar Nagar Parvati Paytha,Pune,https://www.magicbricks.com/amits-montecito-sahakar-nagar-pune-pdpid-4d4235313537383539
₹ 3.50 Cr,35000000.0,"3 BHK Flat for Sale in Sahakar Nagar Parvati Paytha, Pune",3.0,Carpet Area 1610 sqft,1610.0,Sahakar Nagar Parvati Paytha,Pune,https://www.magicbricks.com/amits-montecito-sahakar-nagar-pune-pdpid-4d4235313537383539
Call for Price,,"1 BHK Flat for Sale in Balewadi, Pune",1.0,Carpet Area 491 sqft,491.0,Balewadi,Pune,https://www.magicbricks.com/avishkar-pavilion-residency-balewadi-pune-pdpid-4d4235303432333731
₹ 42 Lac,4200000.0,"2 BHK Flat for Sale in Moshi, Pune",2.0,Carpet Area 578 sqft,578.0,Moshi,Pune,https://www.magicbricks.com/bhandari-swaraj-moshi-pune-pdpid-4d4235303233333234
₹ 1.68 Cr,16800000.0,"3 BHK Flat for Sale in New Kalyani Nagar, Pune",3.0,Carpet Area 1140 sqft,1140.0,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
₹ 45 Lac,4500000.0,"2 BHK Flat for Sale in Bhosari, Pune",2.0,Carpet Area 534 sqft,534.0,Bhosari,Pune,https://www.magicbricks.com/destination-kshitij-bhosari-pune-pdpid-4d4235303236363936
₹ 1.07 Cr,10700000.0,"3 BHK Flat for Sale in Mahalunge, Pune",3.0,Super Area 830 sqft,830.0,Mahalunge,Pune,https://www.magicbricks.com/godrej-green-cove-mahalunge-pune-pdpid-4d4235313931343539
₹ 65 Lac,6500000.0,"2 BHK Flat for Sale in Wadgaon Sheri, Pune",2.0,Carpet Area 623 sqft,623.0,Wadgaon Sheri,Pune,https://www.magicbricks.com/gurukrupa-astter-wadgaon-sheri-pune-pdpid-4d4235303231393535
₹ 36 Lac,3600000.0,"1 BHK Flat for Sale in Loni Kalbhor, Pune",1.0,Carpet Area 600 sqft,600.0,Loni Kalbhor,Pune,https://www.magicbricks.com/ikon-four-avenues-loni-kalbhor-pune-pdpid-4d4235303235393536
₹ 1.45 Cr,14500000.0,"3 BHK Flat for Sale in Mundhwa, Pune",3.0,Carpet Area 1058 sqft,1058.0,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
₹ 1.52 Cr,15200000.0,"3 BHK Flat for Sale in Mundhwa, Pune",3.0,Carpet Area 1105 sqft,1105.0,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
₹ 1.80 Cr,18000000.0,"3 BHK Flat for Sale in Mundhwa, Pune",3.0,Carpet Area 1307 sqft,1307.0,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
₹ 1.81 Cr,18100000.0,"3 BHK Flat for Sale in Mundhwa, Pune",3.0,Carpet Area 1312 sqft,1312.0,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
₹ 1.98 Cr,19800000.0,"3 BHK Flat for Sale in Mundhwa, Pune",3.0,Carpet Area 1348 sqft,1348.0,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
