price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 60 Lac,6000000,"1 BHK Flat for Sale in Arvind Society, Anand Nagar, Pune",1,Super Area 428 sqft,428,Arvind Society,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-428-Sq-ft-Multistorey-Apartment-FOR-Sale-Arvind-Society-in-Pune&id=4d423637373732393235
₹ 46 Lac,4600000,"2 BHK Flat for Sale in Palace Orchard, Mohammed Wadi, Pune",2,Super Area 835 sqft,835,Palace Orchard,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-835-Sq-ft-Multistorey-Apartment-FOR-Sale-Palace-Orchard-in-Pune&id=4d423637373732393231
₹ 72 Lac,7200000,"2 BHK Flat for Sale in Pranjali Patil Nagar, Bavdhan, Pune",2,Super Area 1100 sqft,1100,Pranjali Patil Nagar,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Pranjali-Patil-Nagar-in-Pune&id=4d423637373732393135
₹ 1.07 Cr,10700000,"2 BHK Flat for Sale in Gananjay Society, Kothrud, Pune",2,Super Area 891 sqft,891,Gananjay Society,Pune,https://www.magicbricks.com/muktai-apartment-gananjay-society-pune-pdpid-4d4235303034323730
₹ 3.50 Cr,35000000,"4 BHK Flat for Sale in Kondhwa BK, Pune",4,Carpet Area 3440 sqft,3440,Kondhwa BK,Pune,https://www.magicbricks.com/marvel-albero-kondhwa-budruk-pune-pdpid-4d4235303230353332
₹ 17 Lac,1700000,"1 BHK Flat for Sale in Kondhwa, Pune",1,Super Area 500 sqft,500,Kondhwa,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondhwa-in-Pune&id=4d423632373731303733
₹ 85 Lac,8500000,"2 BHK Flat for Sale in Ramtekdi Industrial Area, Pune",2,Carpet Area 751 sqft,751,Ramtekdi Industrial Area,Pune,https://www.magicbricks.com/wellwisher-kiarah-terrazo-ramtekdi-industrial-area-pune-pdpid-4d4235333230373635
₹ 1.85 Cr,18500000,"3 BHK Flat for Sale in Wakad, Pune",3,Carpet Area 1246 sqft,1246,Wakad,Pune,https://www.magicbricks.com/57-midtown-wakad-pune-pdpid-4d4235333236303731
₹ 1.30 Cr,13000000,"3 BHK Flat for Sale in Tathawade Pimpri Chinchwad, Pune",3,Super Area 2077 sqft,2077,Tathawade Pimpri Chinchwad,Pune,https://www.magicbricks.com/vision-indratej-tathawade-pune-pdpid-4d4235313232373437
₹ 1.90 Cr,19000000,"3 BHK Flat for Sale in Magarpatta, Pune",3,Carpet Area 1118 sqft,1118,Magarpatta,Pune,https://www.magicbricks.com/jasmine-spring-valley-magarpatta-city-pune-pdpid-4d4235333633323235
₹ 23 Lac,2300000,"1 BHK Flat for Sale in Manjri BK, Pune",1,Super Area 595 sqft,595,Manjri BK,Pune,https://www.magicbricks.com/gloriana-villa-manjri-bk-pune-pdpid-4d4235303835343330
₹ 22.5 Lac,2250000,"1 BHK Flat for Sale in Dattanagar Shani Nagar, Pune",1,Carpet Area 500 sqft,500,Dattanagar Shani Nagar,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Dutta-Nagar-Shani-Nagar-in-Pune&id=4d423832303531323831
₹ 26 Lac,2600000,"1 BHK Flat for Sale in Manjari BK, Pune",1,Carpet Area 350 sqft,350,Manjari BK,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Multistorey-Apartment-FOR-Sale-Manjri-Budruk-in-Pune&id=4d423831363430373535
₹ 51 Lac,5100000,"2 BHK Flat for Sale in Moshi, Pune",2,Carpet Area 651 sqft,651,Moshi,Pune,https://www.magicbricks.com/ishwar-river-residency-moshi-pune-pdpid-4d4235303231363330
₹ 45 Lac,4500000,"2 BHK Flat for Sale in Kanhe, Pune",2,Carpet Area 520 sqft,520,Kanhe,Pune,https://www.magicbricks.com/namrata-eco-valley-kanhe-pune-pdpid-4d4235323839323939
₹ 33 Lac,3300000,"1 BHK Flat for Sale in Moshi, Pune",1,Carpet Area 436 sqft,436,Moshi,Pune,https://www.magicbricks.com/ishwar-river-residency-moshi-pune-pdpid-4d4235303231363330
₹ 50 Lac,5000000,"1 BHK Flat for Sale in Ravet, Pimpri Chinchwad, Pune",1,Carpet Area 433 sqft,433,Ravet,Pune,https://www.magicbricks.com/gk-silverland-residency-phase-1-ravet-pune-pdpid-4d4235303938373433
₹ 1.40 Cr,14000000,"2 BHK Flat for Sale in Balewadi, Pune",2,Carpet Area 832 sqft,832,Balewadi,Pune,https://www.magicbricks.com/balewadi-high-street-balewadi-pune-pdpid-4d4235313534353435
₹ 79 Lac,7900000,"2 BHK Flat for Sale in Wakad, Pune",2,Carpet Area 814 sqft,814,Wakad,Pune,https://www.magicbricks.com/rk-lunkad-nisarg-gandh-wakad-pune-pdpid-4d4235323330333531
₹ 54 Lac,5400000,"1 BHK Flat for Sale in Rasta Peth, Pune",1,Carpet Area 377 sqft,377,Rasta Peth,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-618-Sq-ft-Multistorey-Apartment-FOR-Sale-Rasta-Peth-in-Pune&id=4d423831343235363231
₹ 32 Lac,3200000,"1 BHK Flat for Sale in Narhe, Pune",1,Carpet Area 550 sqft,550,Narhe,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-740-Sq-ft-Multistorey-Apartment-FOR-Sale-Narhe-in-Pune&id=4d423832303235353535
