price_num,bhk_number,area_sqft,price_per_sqft,locality,city,listing_url
6500000,2,834,7794,Dhanori,Pune,https://www.magicbricks.com/bramha-sky-city-phase-ii-dhanori-pune-pdpid-4d4235313834393437
7000000,2,800,8750,Ravet,Pune,https://www.magicbricks.com/lotus-laxmi-ravet-pune-pdpid-4d4235303732323232
2500000,1,400,6250,Dhankawadi,Pune,https://www.magicbricks.com/propertyDetails/400-Sq-ft-Studio-Apartment-FOR-Sale-Dhankawadi-in-Pune&id=4d423735363030343933
13500000,3,1160,11638,Bhugaon,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Bhugaon-in-Pune&id=4d423736333234393131
5000000,2,715,6993,Tingre Nagar,Pune,https://www.magicbricks.com/choice-group-goodwill-r-k-puram-tingre-nagar-pune-pdpid-4d4235303637323232
2500000,2,850,2941,Chakan,Pune,https://www.magicbricks.com/shree-sai-swapna-nagari-chakan-pune-pdpid-4d4235303236353538
12000000,2,1600,7500,Ravet,Pune,https://www.magicbricks.com/om-tropica-ravet-pune-pdpid-4d4235303033303233
4500000,1,466,9657,Hinjawadi,Pune,https://www.magicbricks.com/platinum-park-hinjewadi-pune-pdpid-4d4235303737323238
1900000,1,468,4060,Chakan,Pune,https://www.magicbricks.com/naiknavare-dwarka-township-chakan-pune-pdpid-4d4235303230323730
4400000,1,630,6984,Dighi,Pune,https://www.magicbricks.com/rajveer-galaxy-dighi-pune-pdpid-4d4235303237303830
5500000,2,943,5832,Bhukum,Pune,https://www.magicbricks.com/golden-palms-bhukum-pune-pdpid-4d4235303839393735
5030000,2,1050,4790,Manjri,Pune,https://www.magicbricks.com/sampanna-homes-manjri-pune-pdpid-4d4235303139313536
4300000,2,920,4674,Wagholi,Pune,https://www.magicbricks.com/ark-prem-alfa-life-scapes-wagholi-pune-pdpid-4d4235303233363339
17500000,3,1000,17500,Salisbury Park,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1275-Sq-ft-Multistorey-Apartment-FOR-Sale-Salisbury-Park-in-Pune&id=4d423538333338303533
41500000,4,2500,16600,Nibm Road,Pune,https://www.magicbricks.com/tribeca-the-ark-voyage-to-the-stars-nibm-road-pune-pdpid-4d4235303838343036
5000000,2,670,7463,Pune,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423831383239323237
13000000,2,1237,10509,Balewadi,Pune,https://www.magicbricks.com/karan-celista-balewadi-pune-pdpid-4d4235303033363335
9600000,2,747,12851,Hadapsar,Pune,https://www.magicbricks.com/wellwisher-kiarah-terrazo-hadapsar-pune-pdpid-4d4235333230373635
7000000,2,616,11364,Sainagar Kondhwa Budruk,Pune,https://www.magicbricks.com/nandanvan-sainagar-pune-pdpid-4d4235313333303737
7900000,2,814,9705,Wakad,Pune,https://www.magicbricks.com/rk-lunkad-nisarg-gandh-wakad-pune-pdpid-4d4235323330333531
14000000,2,985,14213,Viman Nagar,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Sale-Viman-Nagar-in-Pune&id=4d423830343933393833
5400000,1,377,14324,Rasta Peth,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-618-Sq-ft-Multistorey-Apartment-FOR-Sale-Rasta-Peth-in-Pune&id=4d423831343235363231
5500000,1,550,10000,Sangvi,Pune,https://www.magicbricks.com/ashiyana-heights-sangvi-pune-pdpid-4d4235333633373431
12000000,2,995,12060,Hadapsar,Pune,https://www.magicbricks.com/kumar-paradise-hadapsar-pune-pdpid-4d4235303033353237
30000000,3,1526,19659,Dattawadi,Pune,https://www.magicbricks.com/rohan-kritika-dattawadi-pune-pdpid-4d4235303237313838
3300000,1,436,7569,Moshi,Pune,https://www.magicbricks.com/ishwar-river-residency-moshi-pune-pdpid-4d4235303231363330
2600000,1,553,4702,Kolhewadi,Pune,https://www.magicbricks.com/sushila-park-kolhewadi-pune-pdpid-4d4235303835343337
5400000,1,454,11894,Hinjawadi,Pune,https://www.magicbricks.com/saheel-itrend-homes-hinjewadi-pune-pdpid-4d4235303933323633
7000000,2,850,8235,Tilekar Nagar,Pune,https://www.magicbricks.com/hubtown-countrywoods-tilekar-nagar-pune-pdpid-4d4235303033373231
8980000,2,821,10938,Ravet,Pune,https://www.magicbricks.com/aditya-vivaaz-ravet-pune-pdpid-4d4235303831343237
2600000,1,430,6047,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-430-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423832313836353433
6500000,1,750,8667,Pimple Saudagar,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimple-Saudagar-in-Pune&id=4d423831343530363231
18400000,3,1115,16502,Kharadi,Pune,https://www.magicbricks.com/majestique-evolvus-kharadi-pune-pdpid-4d4235343138353239
14500000,2,877,16534,Kharadi,Pune,https://www.magicbricks.com/majestique-evolvus-kharadi-pune-pdpid-4d4235343138353239
7609999,2,807,9430,Ravet,Pune,https://www.magicbricks.com/legacy-aqualife-ravet-pune-pdpid-4d4235343235313931
13000000,2,910,14286,Viman Nagar,Pune,https://www.magicbricks.com/rohan-mithila-viman-nagar-pune-pdpid-4d4235303030333638
12500000,3,1353,9239,Nibm Road,Pune,https://www.magicbricks.com/maple-tower-nibm-road-pune-pdpid-4d4235303238353232
3800000,2,490,7755,Wagholi,Pune,https://www.magicbricks.com/majestique-palm-atlantis-wagholi-pune-pdpid-4d4235303230363233
2100000,1,430,4884,Kanhe,Pune,https://www.magicbricks.com/eco-valley-plus-kanhe-pune-pdpid-4d4235303934313639
14000000,2,833,16807,Balewadi,Pune,https://www.magicbricks.com/majestique-signature-towers-balewadi-pune-pdpid-4d4235313238333535
8000000,3,800,10000,Katraj,Pune,https://www.magicbricks.com/paramount-garden-katraj-pune-pdpid-4d4235303331353235
9340000,2,766,12193,Kharadi,Pune,https://www.magicbricks.com/palladio-kharadi-central-phase-2-kharadi-pune-pdpid-4d4235343235363131
13400000,3,1091,12282,Pimple Nilakh,Pune,https://www.magicbricks.com/excellaa-virtu-pimple-nilakh-pune-pdpid-4d4235343139323935
8500000,2,745,11409,Wakad,Pune,https://www.magicbricks.com/gk-atlanta-phase-1-wakad-pune-pdpid-4d4235303639313638
34000000,4,1500,22667,Shivajinagar,Pune,https://www.magicbricks.com/tejraj-tejovalaya-shivajinagar-pune-pdpid-4d4235303636353631
8500000,3,1000,8500,Pisoli,Pune,https://www.magicbricks.com/arv-imperia-pisoli-pune-pdpid-4d4235303835353639
6900000,2,670,10299,Akurdi,Pune,https://www.magicbricks.com/siddhivinayak-shubhashree-residential-akurdi-pune-pdpid-4d4235303432393936
5300000,2,750,7067,Moshi,Pune,https://www.magicbricks.com/bhumi-pride-moshi-pune-pdpid-4d4235303835373436
3400000,1,550,6182,Wagholi,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Wagholi-in-Pune&id=4d423534303834383635
6350000,2,740,8581,Manjri,Pune,https://www.magicbricks.com/dreams-ragini-manjri-pune-pdpid-4d4235303831323738
25000000,4,1350,18519,Viman Nagar,Pune,https://www.magicbricks.com/clover-acropolis-viman-nagar-pune-pdpid-4d4235303232393837
30800000,4,1614,19076,Balewadi,Pune,https://www.magicbricks.com/the-balmoral-riverside-balewadi-pune-pdpid-4d4235333039303739
5600000,2,635,8819,Kondhwa,Pune,https://www.magicbricks.com/fortune-prospero-kondhwa-pune-pdpid-4d4235333336323031
2000000,1,486,4115,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-486-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423832303232393135
8600000,2,762,11286,Kharadi,Pune,https://www.magicbricks.com/flamante-by-vtp-luxe-phase-1-kharadi-pune-pdpid-4d4235343135383331
1150000,1,404,2847,Sanaswadi,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-404-Sq-ft-Multistorey-Apartment-FOR-Sale-Sanaswadi-in-Pune&id=4d423739333933393433
10500000,2,840,12500,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
2900000,1,620,4677,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423739333933343439
4600000,2,742,6199,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
4700000,2,717,6555,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
7000000,3,844,8294,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
3200000,1,490,6531,Wagholi,Pune,https://www.magicbricks.com/belle-vie-wagholi-pune-pdpid-4d4235303230363737
5500000,2,752,7314,Wagholi,Pune,https://www.magicbricks.com/belle-vie-wagholi-pune-pdpid-4d4235303230363737
4000000,2,576,6944,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4200000,2,626,6709,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4400000,2,641,6864,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4700000,2,652,7209,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4500000,2,680,6618,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
6370000,2,750,8493,Baner,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-in-Pune&id=4d423532393337353435
4850000,2,890,5449,Pirangut,Pune,https://www.magicbricks.com/trademark-life-pirangut-pune-pdpid-4d4235303033313231
17000000,3,1089,15611,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1525-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636373637
3500000,1,580,6034,Pimpri Chinchwad,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-580-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimpri-Chinchwad-in-Pune&id=4d423737393431303937
8300000,2,1026,8090,Wakad,Pune,https://www.magicbricks.com/magnova-manor-wakad-pune-pdpid-4d4235303930383734
6000000,2,780,7692,Pune,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1010-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423739333332303937
2700000,1,418,6459,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
3000000,1,475,6316,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4200000,2,680,6176,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
2790000,1,475,5874,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
5000000,2,648,7716,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
4500000,2,662,6798,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
2800000,1,432,6481,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
12200000,2,787,15502,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1102-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636363737
23000000,4,1415,16254,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/4-BHK-1981-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636343537
17600000,3,1101,15985,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1541-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636333137
7000000,2,850,8235,Bhukum,Pune,https://www.magicbricks.com/skyi-manas-lake-bhukum-pune-pdpid-4d4235303730393633
12000000,2,950,12632,Eon Free Zone,Pune,https://www.magicbricks.com/kolte-patil-cheryl-eon-free-zone-pune-pdpid-4d4235303231313932
11100000,2,1120,9911,Bavdhan,Pune,https://www.magicbricks.com/nyati-esplanade-bavdhan-bavdhan-pune-pdpid-4d4235303033303238
5500000,3,821,6699,Pirangut,Pune,https://www.magicbricks.com/vastushodh-urban-gram-pirangut-pirangut-pune-pdpid-4d4235303432363739
8000000,2,880,9091,Pashan Sus Road,Pune,https://www.magicbricks.com/windows-housing-society-pashan-sus-road-pune-pdpid-4d4235323130373239
1500000,1,445,3371,Kondhwa,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-445-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Kondhwa-in-Pune&id=4d423831343532393833
